Standard Make,Standard Model,Standard Hierarchy Value,Classification Type,Confirmed Model Years,First Confirmed Model Year,Last Confirmed Model Year,Non-Contiguous Year Segments,Lifecycle Status,Validation Status,Source Organization Count,Source Dataset Count,Primary Source Organization,Primary Source Document,Primary Source URL,Secondary Source Organization,Secondary Source Document,Secondary Source URL,Source Access Date,Catalog Origin,Present in Original Source,Raw Source Value,Notes
Chevrolet,Malibu,Limited,Trim,2016,2016,2016,1,Discontinued,Fully Verified,2,2,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA,NHTSA Product Information Catalog (vehicle products API),https://api.nhtsa.gov/products/vehicle/models?modelYear=2016&make=CHEVROLET&issueType=r,2026-07-18,Added - External Research (V2),No,MALIBU LIMITED,Value explicit in EPA certification model strings and NHTSA recall records; observed in 1 model year(s). Carried forward from V3 unchanged.
Chevrolet,Sonic,RS,Trim,2013-2016,2013,2016,1,Discontinued,Government Verified,1,1,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,,2026-07-18,Added - External Research (V2),No,Sonic 5 RS,Value explicit in EPA certification model strings; observed in 4 model year(s). Carried forward from V3 unchanged.
Chevrolet,Traverse,Limited,Trim,2024,2024,2024,1,Discontinued,Government Verified,1,1,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,,2026-07-18,Added - External Research (V2),No,Traverse Limited AWD,Value explicit in EPA certification model strings; observed in 1 model year(s). Carried forward from V3 unchanged.
Dodge,Challenger,GT,Trim,2017-2019,2017,2019,1,Discontinued,Government Verified,1,1,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,,2026-07-18,Added - External Research (V2),No,Challenger GT,Value explicit in EPA certification model strings; observed in 3 model year(s). Carried forward from V3 unchanged.
Dodge,Dart,GT,Trim,2014-2016,2014,2016,1,Discontinued,Government Verified,1,1,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,,2026-07-18,Added - External Research (V2),No,Dart GT,Value explicit in EPA certification model strings; observed in 3 model year(s). Carried forward from V3 unchanged.
Ferrari,456,GT,Trim,1995,1995,1995,1,Discontinued,Government Verified,1,1,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,,2026-07-18,Added - External Research (V2),No,Ferrari 456 GT,Value explicit in EPA certification model strings; observed in 1 model year(s). Carried forward from V3 unchanged.
Fisker,Ocean,Sport,Trim,2024,2024,2024,1,Discontinued,Government Verified,1,1,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,,2026-07-18,Added - External Research (V2),No,Ocean Sport 20in,Value explicit in EPA certification model strings; observed in 1 model year(s). Carried forward from V3 unchanged.
Ford,Bronco,Raptor,Sub-model,2022-2026,2022,2026,1,Active,Government Verified,1,1,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,,2026-07-18,Added - External Research (V2),No,Bronco Raptor 4WD,Value explicit in EPA certification model strings; observed in 5 model year(s). Carried forward from V3 unchanged.
Ford,Bronco,Badlands,Trim,2021-2026,2021,2026,1,Active,Government Verified,1,1,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,,2026-07-18,Added - External Research (V2),No,Bronco Badlands 4WD,Value explicit in EPA certification model strings; observed in 6 model year(s). Carried forward from V3 unchanged.
Ford,Bronco,Black Diamond,Trim,2021-2024,2021,2024,1,Discontinued,Government Verified,1,1,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,,2026-07-18,Added - External Research (V2),No,Bronco Black Diamond 4WD,Value explicit in EPA certification model strings; observed in 4 model year(s). Carried forward from V3 unchanged.
Ford,Bronco,Outer Banks,Trim,2025-2026,2025,2026,1,Active,Government Verified,1,1,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,,2026-07-18,Added - External Research (V2),No,Bronco Outer Banks 4WD,Value explicit in EPA certification model strings; observed in 2 model year(s). Carried forward from V3 unchanged.
Ford,Expedition,Timberline,Trim,2022-2024,2022,2024,1,Discontinued,Government Verified,1,1,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,,2026-07-18,Added - External Research (V2),No,Expedition Timberline AWD,Value explicit in EPA certification model strings; observed in 3 model year(s). Carried forward from V3 unchanged.
Ford,Explorer,Platinum,Trim,2022-2023,2022,2023,1,Discontinued,Government Verified,1,1,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,,2026-07-18,Added - External Research (V2),No,Explorer Platinum HEV AWD,Value explicit in EPA certification model strings; observed in 2 model year(s). Carried forward from V3 unchanged.
Ford,Explorer,Timberline,Trim,2021-2024,2021,2024,1,Discontinued,Government Verified,1,1,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,,2026-07-18,Added - External Research (V2),No,Explorer Timberline AWD,Value explicit in EPA certification model strings; observed in 4 model year(s). Carried forward from V3 unchanged.
Ford,F-150,Lightning,Sub-model,1994-1995; 2000,1994,2000,2,Discontinued,Government Verified,1,1,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,,2026-07-18,Added - External Research (V2),No,Lightning F150 2WD,Value explicit in EPA certification model strings; observed in 3 model year(s). Carried forward from V3 unchanged.
Ford,F-150,Raptor,Sub-model,2011-2014; 2017-2026,2011,2026,2,Active,Government Verified,1,1,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,,2026-07-18,Added - External Research (V2),No,F150 RAPTOR 37 4WD,Value explicit in EPA certification model strings; observed in 14 model year(s). Carried forward from V3 unchanged.
Ford,F-150,Limited,Trim,2019-2020,2019,2020,1,Discontinued,Government Verified,1,1,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,,2026-07-18,Added - External Research (V2),No,F150 Pickup 2WD Limited,Value explicit in EPA certification model strings; observed in 2 model year(s). Carried forward from V3 unchanged.
Ford,F-150,SE,Trim,2007-2008,2007,2008,1,Discontinued,Government Verified,1,1,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,,2026-07-18,Added - External Research (V2),No,F150 STX SE 2WD,Value explicit in EPA certification model strings; observed in 2 model year(s). Carried forward from V3 unchanged.
Ford,F-150,STX,Trim,2007-2008,2007,2008,1,Discontinued,Government Verified,1,1,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,,2026-07-18,Added - External Research (V2),No,F150 STX SE 2WD,Value explicit in EPA certification model strings; observed in 2 model year(s). Carried forward from V3 unchanged.
Ford,F-150,XL,Trim,2018-2020,2018,2020,1,Discontinued,Government Verified,1,1,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,,2026-07-18,Added - External Research (V2),No,F150 Pickup 4WD XL/XLT,Value explicit in EPA certification model strings; observed in 3 model year(s). Carried forward from V3 unchanged.
Ford,F-150,XLT,Trim,2018-2020,2018,2020,1,Discontinued,Government Verified,1,1,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,,2026-07-18,Added - External Research (V2),No,F150 Pickup 4WD XL/XLT,Value explicit in EPA certification model strings; observed in 3 model year(s). Carried forward from V3 unchanged.
Ford,F-150 Lightning,Platinum,Trim,2022-2025,2022,2025,1,Active,Government Verified,1,1,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,,2026-07-18,Added - External Research (V2),No,F-150 Lightning Platinum 4WD,Value explicit in EPA certification model strings; observed in 4 model year(s). Carried forward from V3 unchanged.
Ford,F-150 Lightning,SR,Trim,2025,2025,2025,1,Active,Government Verified,1,1,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,,2026-07-18,Added - External Research (V2),No,F-150 Lightning 4WD SR,Value explicit in EPA certification model strings; observed in 1 model year(s). Carried forward from V3 unchanged.
Ford,Focus,RS,Trim,2016-2018,2016,2018,1,Discontinued,Fully Verified,2,2,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA,NHTSA Product Information Catalog (vehicle products API),https://api.nhtsa.gov/products/vehicle/models?modelYear=2016&make=FORD&issueType=r,2026-07-18,Added - External Research (V2),No,FOCUS RS,Value explicit in EPA certification model strings and NHTSA recall records; observed in 3 model year(s). Carried forward from V3 unchanged.
Ford,Maverick,Lariat,Trim,2026,2026,2026,1,Active,Government Verified,1,1,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,,2026-07-18,Added - External Research (V2),No,Maverick Lariat HEV AWD,Value explicit in EPA certification model strings; observed in 1 model year(s). Carried forward from V3 unchanged.
Ford,Mustang,Mach 1,Sub-model,2021-2023,2021,2023,1,Discontinued,Government Verified,1,1,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,,2026-07-18,Added - External Research (V2),No,Mustang Mach 1,Value explicit in EPA certification model strings; observed in 3 model year(s). Carried forward from V3 unchanged.
Ford,Mustang,Shelby,Sub-model,2016-2022,2016,2022,1,Discontinued,Government Verified,1,1,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,,2026-07-18,Added - External Research (V2),No,Shelby GT350 Mustang,Value explicit in EPA certification model strings; observed in 7 model year(s). Carried forward from V3 unchanged.
Ford,Mustang Mach-E,GT,Trim,2021-2026,2021,2026,1,Active,Government Verified,1,1,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,,2026-07-18,Added - External Research (V2),No,Mustang Mach-E GT,Value explicit in EPA certification model strings; observed in 6 model year(s). Carried forward from V3 unchanged.
Ford,Ranger,Raptor,Sub-model,2024-2026,2024,2026,1,Active,Government Verified,1,1,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,,2026-07-18,Added - External Research (V2),No,Ranger RAPTOR 4WD,Value explicit in EPA certification model strings; observed in 3 model year(s). Carried forward from V3 unchanged.
GMC,Acadia,Limited,Trim,2017,2017,2017,1,Discontinued,Fully Verified,2,2,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA,NHTSA Product Information Catalog (vehicle products API),https://api.nhtsa.gov/products/vehicle/models?modelYear=2017&make=GMC&issueType=r,2026-07-18,Added - External Research (V2),No,ACADIA LIMITED,Value explicit in EPA certification model strings and NHTSA recall records; observed in 1 model year(s). Carried forward from V3 unchanged.
GMC,Terrain,AT4,Trim,2026,2026,2026,1,Active,Government Verified,1,1,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,,2026-07-18,Added - External Research (V2),No,Terrain AWD  Denali/AT4,Value explicit in EPA certification model strings; observed in 1 model year(s). Carried forward from V3 unchanged.
GMC,Terrain,Denali,Trim,2026,2026,2026,1,Active,Government Verified,1,1,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,,2026-07-18,Added - External Research (V2),No,Terrain AWD  Denali/AT4,Value explicit in EPA certification model strings; observed in 1 model year(s). Carried forward from V3 unchanged.
GMC,Yukon,Denali,Trim,1997; 1999; 2002-2003; 2007-2019,1997,2019,4,Discontinued,Fully Verified,2,2,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA,NHTSA Product Information Catalog (vehicle products API),https://api.nhtsa.gov/products/vehicle/models?modelYear=1997&make=GMC&issueType=r,2026-07-18,Added - External Research (V2),No,YUKON DENALI,Value explicit in EPA certification model strings and NHTSA recall records; observed in 17 model year(s). Carried forward from V3 unchanged.
Honda,Accord,SE,Trim,1993; 2026,1993,2026,2,Active,Fully Verified,2,2,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA,NHTSA Product Information Catalog (vehicle products API),https://api.nhtsa.gov/products/vehicle/models?modelYear=1993&make=HONDA&issueType=r,2026-07-18,Added - External Research (V2),No,ACCORD SE 4-DR,Value explicit in EPA certification model strings and NHTSA recall records; observed in 2 model year(s). Carried forward from V3 unchanged.
Honda,Accord,Sport,Trim,2018-2026,2018,2026,1,Active,Government Verified,1,1,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,,2026-07-18,Added - External Research (V2),No,Accord 2.0T Sport/Touring,Value explicit in EPA certification model strings; observed in 9 model year(s). Carried forward from V3 unchanged.
Honda,Accord,Touring,Trim,2018-2026,2018,2026,1,Active,Government Verified,1,1,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,,2026-07-18,Added - External Research (V2),No,Accord 2.0T Sport/Touring,Value explicit in EPA certification model strings; observed in 9 model year(s). Carried forward from V3 unchanged.
Honda,Civic,SI,Trim,2002; 2006-2013; 2015-2020; 2022-2025,2002,2025,4,Active,Fully Verified,2,2,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA,NHTSA Product Information Catalog (vehicle products API),https://api.nhtsa.gov/products/vehicle/models?modelYear=2002&make=HONDA&issueType=r,2026-07-18,Added - External Research (V2),No,CIVIC SEDAN SI,Value explicit in EPA certification model strings and NHTSA recall records; observed in 19 model year(s). Carried forward from V3 unchanged.
Honda,Civic,Sport,Trim,2017-2018,2017,2018,1,Discontinued,Government Verified,1,1,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,,2026-07-18,Added - External Research (V2),No,Civic 5Dr Sport,Value explicit in EPA certification model strings; observed in 2 model year(s). Carried forward from V3 unchanged.
Honda,Civic,Type R,Trim,2017-2021; 2023-2025,2017,2025,2,Active,Fully Verified,2,2,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA,NHTSA Product Information Catalog (vehicle products API),https://api.nhtsa.gov/products/vehicle/models?modelYear=2017&make=HONDA&issueType=r,2026-07-18,Added - External Research (V2),No,CIVIC HATCH TYPE-R,Value explicit in EPA certification model strings and NHTSA recall records; observed in 8 model year(s). Carried forward from V3 unchanged.
Honda,Insight,Touring,Trim,2019-2022,2019,2022,1,Discontinued,Government Verified,1,1,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,,2026-07-18,Added - External Research (V2),No,Insight Touring,Value explicit in EPA certification model strings; observed in 4 model year(s). Carried forward from V3 unchanged.
Honda,Pilot,Touring,Trim,2023-2026,2023,2026,1,Active,Government Verified,1,1,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,,2026-07-18,Added - External Research (V2),No,Pilot AWD Touring/Elite/Black,Value explicit in EPA certification model strings; observed in 4 model year(s). Carried forward from V3 unchanged.
Honda,Prologue,Touring,Trim,2024-2025,2024,2025,1,Active,Government Verified,1,1,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,,2026-07-18,Added - External Research (V2),No,Prologue AWD Touring,Value explicit in EPA certification model strings; observed in 2 model year(s). Carried forward from V3 unchanged.
Hyundai,Azera,Limited,Trim,2015-2017,2015,2017,1,Discontinued,Government Verified,1,1,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,,2026-07-18,Added - External Research (V2),No,Azera Limited,Value explicit in EPA certification model strings; observed in 3 model year(s). Carried forward from V3 unchanged.
Hyundai,Elantra,Limited,Trim,2014-2016,2014,2016,1,Discontinued,Government Verified,1,1,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,,2026-07-18,Added - External Research (V2),No,Elantra Limited,Value explicit in EPA certification model strings; observed in 3 model year(s). Carried forward from V3 unchanged.
Hyundai,Elantra,SE,Trim,2017-2020,2017,2020,1,Discontinued,Government Verified,1,1,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,,2026-07-18,Added - External Research (V2),No,Elantra SE,Value explicit in EPA certification model strings; observed in 4 model year(s). Carried forward from V3 unchanged.
Hyundai,Elantra,Touring,Trim,2009-2012,2009,2012,1,Discontinued,Fully Verified,2,2,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA,NHTSA Product Information Catalog (vehicle products API),https://api.nhtsa.gov/products/vehicle/models?modelYear=2009&make=HYUNDAI&issueType=r,2026-07-18,Added - External Research (V2),No,ELANTRA TOURING,Value explicit in EPA certification model strings and NHTSA recall records; observed in 4 model year(s). Carried forward from V3 unchanged.
Hyundai,Santa Fe,Ultimate,Trim,2014-2018,2014,2018,1,Discontinued,Government Verified,1,1,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,,2026-07-18,Added - External Research (V2),No,Santa Fe Ultimate 2WD,Value explicit in EPA certification model strings; observed in 5 model year(s). Carried forward from V3 unchanged.
Hyundai,Santa Fe Sport,Ultimate,Trim,2015-2018,2015,2018,1,Discontinued,Government Verified,1,1,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,,2026-07-18,Added - External Research (V2),No,Santa Fe Sport Ultimate AWD,Value explicit in EPA certification model strings; observed in 4 model year(s). Carried forward from V3 unchanged.
Hyundai,Santa Fe XL,Ultimate,Trim,2019,2019,2019,1,Discontinued,Government Verified,1,1,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,,2026-07-18,Added - External Research (V2),No,Santa Fe XL Ultimate AWD,Value explicit in EPA certification model strings; observed in 1 model year(s). Carried forward from V3 unchanged.
Hyundai,Sonata,Limited,Trim,2013-2017,2013,2017,1,Discontinued,Government Verified,1,1,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,,2026-07-18,Added - External Research (V2),No,Sonata Hybrid Limited,Value explicit in EPA certification model strings; observed in 5 model year(s). Carried forward from V3 unchanged.
Hyundai,Sonata,SE,Trim,2016-2019,2016,2019,1,Discontinued,Government Verified,1,1,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,,2026-07-18,Added - External Research (V2),No,Sonata Hybrid SE,Value explicit in EPA certification model strings; observed in 4 model year(s). Carried forward from V3 unchanged.
Hyundai,Sonata Sport,Limited,Trim,2015-2017,2015,2017,1,Discontinued,Government Verified,1,1,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,,2026-07-18,Added - External Research (V2),No,Sonata Sport Limited,Value explicit in EPA certification model strings; observed in 3 model year(s). Carried forward from V3 unchanged.
Jaguar,F-PACE,SVR,Trim,2021-2026,2021,2026,1,Active,Government Verified,1,1,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,,2026-07-18,Added - External Research (V2),No,F-Pace SVR,Value explicit in EPA certification model strings; observed in 6 model year(s). Carried forward from V3 unchanged.
Jaguar,F-TYPE,SVR,Trim,2019-2020,2019,2020,1,Discontinued,Government Verified,1,1,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,,2026-07-18,Added - External Research (V2),No,F-Type SVR AWD Convertible,Value explicit in EPA certification model strings; observed in 2 model year(s). Carried forward from V3 unchanged.
Jaguar,XJ,Sport,Trim,2002-2003,2002,2003,1,Discontinued,Government Verified,1,1,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,,2026-07-18,Added - External Research (V2),No,XJ Sport,Value explicit in EPA certification model strings; observed in 2 model year(s). Carried forward from V3 unchanged.
Jaguar,X-Type,Sport,Trim,2005-2008,2005,2008,1,Discontinued,Government Verified,1,1,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,,2026-07-18,Added - External Research (V2),No,X-Type Sport Brake,Value explicit in EPA certification model strings; observed in 4 model year(s). Carried forward from V3 unchanged.
Jeep,Cherokee,Trailhawk,Trim,2014-2023,2014,2023,1,Discontinued,Government Verified,1,1,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,,2026-07-18,Added - External Research (V2),No,Cherokee Trailhawk 4WD,Value explicit in EPA certification model strings; observed in 10 model year(s). Carried forward from V3 unchanged.
Jeep,Gladiator,Rubicon,Trim,2021,2021,2021,1,Discontinued,Government Verified,1,1,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,,2026-07-18,Added - External Research (V2),No,Gladiator Rubicon EcoDiesel 4WD,Value explicit in EPA certification model strings; observed in 1 model year(s). Carried forward from V3 unchanged.
Jeep,Grand Cherokee,Trackhawk,Trim,2018-2021,2018,2021,1,Discontinued,Fully Verified,2,2,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA,NHTSA Product Information Catalog (vehicle products API),https://api.nhtsa.gov/products/vehicle/models?modelYear=2018&make=JEEP&issueType=r,2026-07-18,Added - External Research (V2),No,GRAND CHEROKEE TRACKHAWK,Value explicit in EPA certification model strings and NHTSA recall records; observed in 4 model year(s). Carried forward from V3 unchanged.
Jeep,Renegade,Trailhawk,Trim,2019-2023,2019,2023,1,Discontinued,Government Verified,1,1,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,,2026-07-18,Added - External Research (V2),No,Renegade Trailhawk 4WD,Value explicit in EPA certification model strings; observed in 5 model year(s). Carried forward from V3 unchanged.
Jeep,Wagoneer,Limited,Trim,1989,1989,1989,1,Discontinued,Government Verified,1,1,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,,2026-07-18,Added - External Research (V2),No,Wagoneer Limited 4WD,Value explicit in EPA certification model strings; observed in 1 model year(s). Carried forward from V3 unchanged.
Jeep,Wrangler,Rubicon,Trim,2024,2024,2024,1,Discontinued,Government Verified,1,1,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,,2026-07-18,Added - External Research (V2),No,Wrangler Rubicon 2dr 4WD,Value explicit in EPA certification model strings; observed in 1 model year(s). Carried forward from V3 unchanged.
Karma,Revero,GT,Trim,2020,2020,2020,1,Discontinued,Government Verified,1,1,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,,2026-07-18,Added - External Research (V2),No,Revero GT (21-inch wheels),Value explicit in EPA certification model strings; observed in 1 model year(s). Carried forward from V3 unchanged.
Kia,EV6,GT,Trim,2023-2026,2023,2026,1,Active,Government Verified,1,1,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,,2026-07-18,Added - External Research (V2),No,EV6 AWD GT,Value explicit in EPA certification model strings; observed in 4 model year(s). Carried forward from V3 unchanged.
Kia,EV9,GT,Trim,2026,2026,2026,1,Active,Government Verified,1,1,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,,2026-07-18,Added - External Research (V2),No,EV9 GT,Value explicit in EPA certification model strings; observed in 1 model year(s). Carried forward from V3 unchanged.
Kia,Niro,Touring,Trim,2017-2022,2017,2022,1,Discontinued,Government Verified,1,1,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,,2026-07-18,Added - External Research (V2),No,Niro Touring,Value explicit in EPA certification model strings; observed in 6 model year(s). Carried forward from V3 unchanged.
Lamborghini,Urus,SE,Trim,2025-2026,2025,2026,1,Active,Government Verified,1,1,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,,2026-07-18,Added - External Research (V2),No,Urus SE,Value explicit in EPA certification model strings; observed in 2 model year(s). Carried forward from V3 unchanged.
Land Rover,Range Rover Sport,SVR,Trim,2018-2022; 2024-2026,2018,2026,2,Active,Government Verified,1,1,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,,2026-07-18,Added - External Research (V2),No,Range Rover Sport SVR,Value explicit in EPA certification model strings; observed in 8 model year(s). Carried forward from V3 unchanged.
Lotus,Evora,GT,Trim,2020-2021,2020,2021,1,Discontinued,Government Verified,1,1,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,,2026-07-18,Added - External Research (V2),No,Evora GT,Value explicit in EPA certification model strings; observed in 2 model year(s). Carried forward from V3 unchanged.
Lucid,Air,GT,Trim,2023,2023,2023,1,Discontinued,Government Verified,1,1,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,,2026-07-18,Added - External Research (V2),No,Air GT P AWD with 21 inch wheels,Value explicit in EPA certification model strings; observed in 1 model year(s). Carried forward from V3 unchanged.
