Model Year,Standard Make,Standard Model,Standard Hierarchy Value,Classification Type,Validation Status,Primary Source Organization,Primary Source Document,Primary Source URL,Notes
2018,BMW,7 Series,M760I,Trim,Government Verified,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,
2018,BMW,i3,REX,Trim,Government Verified,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,
2018,Bentley,Continental,GT,Trim,Fully Verified,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,
2018,Chevrolet,Express,3500-,Trim,Government Verified,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,
2018,Dodge,Challenger,Demon,Trim,Government Verified,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,
2018,Dodge,Challenger,GT,Trim,Government Verified,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,
2018,Dodge,Challenger,SRT,Series,Government Verified,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,
2018,Dodge,Charger,SRT,Series,Government Verified,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,
2018,Dodge,Durango,SRT,Series,Government Verified,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,
2018,Ferrari,488,GTB,Trim,Government Verified,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,
2018,Ford,F-150,Raptor,Sub-model,Government Verified,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,
2018,Ford,F-150,XL,Trim,Government Verified,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,
2018,Ford,F-150,XLT,Trim,Government Verified,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,
2018,Ford,Focus,RS,Trim,Fully Verified,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,
2018,Ford,Mustang,Shelby,Sub-model,Government Verified,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,
2018,GMC,Yukon,Denali,Trim,Fully Verified,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,
2018,Genesis,G80,Sport,Trim,Manufacturer Verified,Genesis Motor America,Genesis Debuts 2018 G80 Sport Trim with 3.3-Liter Turbocharged Engine and Performance Styling (official Genesis newsroom),https://www.genesisnewsusa.com/en-us/releases/18,
2018,Honda,Accord,Sport,Trim,Government Verified,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,
2018,Honda,Accord,Touring,Trim,Government Verified,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,
2018,Honda,Civic,SI,Trim,Fully Verified,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,
2018,Honda,Civic,Sport,Trim,Government Verified,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,
2018,Honda,Civic,Type R,Trim,Fully Verified,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,
2018,Hyundai,Elantra,SE,Trim,Government Verified,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,
2018,Hyundai,Santa Fe,Ultimate,Trim,Government Verified,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,
2018,Hyundai,Santa Fe Sport,Ultimate,Trim,Government Verified,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,
2018,Hyundai,Sonata,SE,Trim,Government Verified,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,
2018,Jaguar,XJ,XJL,Trim,Government Verified,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,
2018,Jeep,Cherokee,Trailhawk,Trim,Government Verified,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,
2018,Jeep,Grand Cherokee,SRT,Series,Government Verified,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,
2018,Jeep,Grand Cherokee,Trackhawk,Trim,Fully Verified,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,
2018,Jeep,Wrangler,Unlimited,Trim,Government Verified,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,
2018,Kia,Niro,Touring,Trim,Government Verified,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,
2018,Land Rover,Range Rover Sport,SVR,Trim,Government Verified,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,
2018,Mercedes-Benz,C-Class,AMG,Series,Government Verified,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,
2018,Mercedes-Benz,C-Class,C43,Trim,Government Verified,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,
2018,Mercedes-Benz,CLA-Class,AMG,Series,Government Verified,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,
2018,Mercedes-Benz,CLA-Class,Cla250,Trim,Government Verified,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,
2018,Mercedes-Benz,CLA-Class,Cla45,Trim,Government Verified,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,
2018,Mercedes-Benz,CLS-Class,AMG,Series,Government Verified,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,
2018,Mercedes-Benz,E-Class,AMG,Series,Government Verified,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,
2018,Mercedes-Benz,E-Class,E300,Trim,Government Verified,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,
2018,Mercedes-Benz,E-Class,Station,Trim,Government Verified,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,
2018,Mercedes-Benz,G-Class,AMG,Series,Government Verified,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,
2018,Mercedes-Benz,G-Class,G63,Trim,Government Verified,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,
2018,Mercedes-Benz,GLA-Class,AMG,Series,Government Verified,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,
2018,Mercedes-Benz,GLA-Class,Gla45,Trim,Government Verified,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,
2018,Mercedes-Benz,GLC-Class,AMG,Series,Government Verified,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,
2018,Mercedes-Benz,GLC-Class,Glc350E,Trim,Government Verified,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,
2018,Mercedes-Benz,GLC-Class,Glc43,Trim,Government Verified,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,
